Site Name,Latitude,Longitude,Anom-2SD,Anom-1SD,Anom,Anom+1SD,Anom+2SD,1SD,2SD
NEEM,77.49,-51.2,-0.5,3.4,7.3,11.2,15.1,3.9,7.8
SU90-08_Alk,43.35,-30.41,0.5,1.85,3.2,4.55,5.9,1.35,2.7
M23323,67.77,5.92,-7.1,-5.284004062,-3.5,0.021914111,3.5,3.521914111,7
V28-14,64.78,-29.57,-2.8,-0.231236356,2.3,3.829058261,5.4,1.529058261,3.1
V27-20,54,-46.2,0.9,2.225872182,3.6,4.751917313,5.9,1.151917313,2.3
M23414-9,53.53,-20.29,-6.3,-3.059723914,0.2,1.217119473,2.3,1.017119473,2.1
V23-82,52.58,-21.93,-9.1,-5.813131352,-2.5,-0.682760539,1.1,1.817239461,3.6
K708-1,50,-23.74,-4.6,-2.014310276,0.5,2.112572819,3.7,1.612572819,3.2
V29-179,44,-23.51,-5.6,-2.739127683,0.1,1.746584714,3.4,1.646584714,3.3
Y7211-1,43.25,-126.38,-8.3,-5.676376727,-3,-0.938209236,1.1,2.061790764,4.1
D-117,42.1,-52.75,-1.3,0.049729587,1.4,2.676345695,4,1.276345695,2.6
V30-97,41,-32.93,-4,-2.430358346,-0.9,0.408739078,1.7,1.308739078,2.6
ODP1020,41,-126.43,-1.3,0.053028067,1.4,1.981551628,2.5,0.581551628,1.1
MD95-2040,40.58,-9.87,-5.2,-2.577049485,0,2.35136903,4.7,2.35136903,4.7
EDML,-75,0,-2,-0.54,0.9,2.4,3.8,1.5,2.9
EDC,-75.1,123.35,-0.1,1.39,2.9,4.4,5.9,1.5,3
Dome F,-77.32,39.7,0.2,1.73,3.3,4.8,6.4,1.5,3.1
Vostok,-78.47,106.87,-1,0.46,1.9,3.4,4.8,1.5,2.9
MD97-2121_B,-40.22,177.59,1.5,3.315,5.1,6.9,8.7,1.8,3.6
MD97-2121,-40.38,177.98,5.2,6.119828799,7,7.8,8.5,0.8,1.5
RC15-61,-40.62,-77.2,-6.9,-5.323678013,-3.7,-2.3,-0.8,1.4,2.9
ODP1089,-40.93,9.9,9.9,10.69032652,11.5,12.5,13.5,1,2
ODP1123,-41.79,-171.5,0.8,2.825391207,4.8,6.9,9,2.1,4.2
PS2489-2,-42.9,8.97,-2.2,-0.598219589,1,2.6,4.1,1.6,3.1
MD73-25,-43.82,51.3,-8.7,-7.743729652,-6.8,-5.9,-4.9,0.9,1.9
MD97-2106,-45.15,146.29,-1.1,1.08189281,3.2,5.4,7.5,2.2,4.3
DSDP594,-45.5,174.95,-2.8,-1.189041796,0.5,2.2,4,1.7,3.5
MD97-2120,-45.52,174.93,6.1,6.902263256,7.7,9,10.4,1.3,2.7
MD88-770,-46.01,96.47,-0.2,0.860018145,1.9,3,4,1.1,2.1
Y9,-48.24,177.34,-0.2,1.87507498,4,6.2,8.4,2.2,4.4
MD97-2108,-48.5,149.11,-2.7,-0.372536215,1.9,4,6,2.1,4.1
MD97-2109,-50.63,169.38,-6,-3.693586516,-1.4,1.1,3.6,2.5,5
ODP662,-1.38,-11.74,-0.5,0.2,1,1.8,2.6,0.8,1.6
GeoB1105,-1.67,-12.43,0.2,1,1.9,2.8,3.7,0.9,1.8
GeoB1105,-1.67,-12.43,-2.2,-1.3,-0.4,0.5,1.5,0.9,1.9
GeoB1112,-5.77,-10.74,-3.4,-1.7,0,1.3,2.6,1.3,2.6
GeoB1112,-5.77,-10.74,-1.3,-0.5,0.4,1.3,2.2,0.9,1.8
GeoB1711-4,-23.31,12.38,1.1,2.1,3.2,4,4.7,0.8,1.5
GeoB1710-3,-23.43,11.7,1,2,3,3.7,4.4,0.7,1.4
MD96-2080,-36.32,19.47,4.7,5.4,6.2,7.1,8,0.9,1.8
V22-174,-10.07,-12.82,-3.8,-2.3,-0.7,1,2.6,1.7,3.3
RC13-228,-22.33,11.2,-8.2,-6.6,-4.9,-2.5,-0.1,2.4,4.8
RC13-228,-22.33,11.2,-2.2,-0.7,0.9,2.7,4.5,1.8,3.6
RC13-228,-22.33,11.2,-0.2,1.2,2.6,4,5.5,1.4,2.9
RC13-229,-25.5,11.3,-3.1,-1.7,-0.3,0.8,2,1.1,2.3
RC13-229,-25.5,11.3,0,1.2,2.4,3.6,4.8,1.2,2.4
RC11-86,-35.78,18.45,-2.6,-1.5,-0.5,0.7,1.8,1.2,2.3
RC11-86,-35.78,18.45,0.5,2.1,3.7,5.3,7,1.6,3.3
RC12-294,-37.27,-10.1,-1.6,0.1,1.8,3.5,5.2,1.7,3.4
RC12-294,-37.27,-10.1,-0.8,0.9,2.6,4.3,5.9,1.7,3.3
GeoB10038-4,-5.94,103.25,-2.3,-1.4,-0.5,0.6,1.6,1.1,2.1
GeoB10038-4,-5.94,103.25,-2.4,-1.7,-0.9,-0.1,0.7,0.8,1.6
MD01-2378,-13.08,121.79,-1.5,-0.4,0.7,1.7,2.6,1,1.9
V34-88,16.52,59.53,-2.8,-1.8,-0.7,0.5,1.7,1.2,2.4
RC12-339,9.13,90.03,-3.2,-2.2,-1.2,-0.1,0.9,1.1,2.1
V28-345,-17.67,117.95,-2.4,-1.3,-0.2,0.9,2,1.1,2.2
ODP1018,36.99,-123.27,-2.8,-0.4,2.1,5,7.8,2.9,5.7
MD01-2421,36.02,141.78,2,2.7,3.5,4.2,4.9,0.7,1.4
ODP893,34.28,-120.03,1.7,2.6,3.4,4.3,5.1,0.9,1.7
ODP1014A,32.8,-118.9,0.1,1.5,3,3.6,4.3,0.6,1.3
ODP1012,32.28,-118.38,0.9,2,3.2,3.9,4.6,0.7,1.4
LAPAZ21,22.98,-109.47,0.9,1.7,2.5,3.3,4.2,0.8,1.7
ODP1145,19.53,117.63,-3.5,-2.5,-1.5,-0.5,0.4,1,1.9
ODP1146,19.45,116.27,-1.5,-0.6,0.3,1.1,1.9,0.8,1.6
MD97-2151,8.73,109.87,-1.4,-0.5,0.5,1.4,2.3,0.9,1.8
GIK17961-2,8.5,112.33,-0.8,0,0.7,1.5,2.3,0.8,1.6
W8402A,0.95,-138.95,-0.3,0.5,1.2,2,2.8,0.8,1.6
TR163-22,0.5,-92.4,-3.2,-2.3,-1.4,-0.4,0.6,1,2
ODP846,-3.08,-90.82,-1.1,-0.3,0.6,1.5,2.4,0.9,1.8
V19-29,-3.57,-83.22,-4.1,-2.7,-1.2,0.1,1.5,1.3,2.7
MD06-3018,-23,166.13,1.8,2.6,3.5,4.5,5.4,1,1.9
V28-238,1.02,160.48,-2.7,-1.5,-0.4,0.8,2,1.2,2.4
Y71-6-12,-16.45,-77.57,-3.7,-1.3,1.1,3.2,5.3,2.1,4.2
MD01-2444,37.57,-10.13,-3.2,-0.4,2.5,3.5,4.5,1,2
MD01-2444,37.57,-10.13,1.9,3,4,5,6,1,2
MD02-2575,29,-87.11,1.2,2.2,3.2,4.2,5.1,1,1.9
M35027-1,17.64,-67.17,-4,-2.8,-1.6,-0.6,0.5,1,2.1
MD03-2707,2.5,9.39,-2.5,-1.6,-0.8,0.2,1.2,1,2
GIK15637-1,27,-18.98,-1.8,-0.9,0,0.9,1.9,0.9,1.9
M12392-1,25.16,-16.85,-5.7,-4.5,-3.2,-1.9,-0.7,1.3,2.5
TR126-29,21.33,-93.95,-3,-2.1,-1.2,-0.4,0.5,0.8,1.7
TR126-23,20.48,-95.62,-2.9,-2,-1,-0.2,0.7,0.8,1.7
V22-196,13.83,-18.97,-5.5,-2.7,0.1,1.5,2.8,1.4,2.7
V28-127,11.65,-80.13,-2.5,-1.4,-0.2,1,2.3,1.2,2.5
V25-59,1.37,-33.48,-2.9,-1.9,-0.9,0.2,1.2,1.1,2.1